"","geo","mean_commute_minutes","income","age","pop","non_us_citizens","owner_occupied_housing_units","median_property_value","us_citizens","non_eng_speakers_pct","geo_name"
"32","14000US36067004000",17.932,29438,27.8,1742,0.032147,0.344045,49100,0.967853,0.105732,"Census Tract 40"
"33","14000US36067004200",24.5135,11744,23.7,2311,0.0869753,0.0353698,69600,0.913025,0.306043,"Census Tract 42"
"34","14000US36067004301",12.1722,9268,20.2,1673,0.0669456,0.0208333,NA,0.933054,0.138682,"Census Tract 43.01"
"35","14000US36067004302",8.4401,9171,19.6,6710,0.0801788,0.00421053,NA,0.919821,0.200298,"Census Tract 43.02"
"36","14000US36067004400",12.7418,19844,21.6,2040,0.0568627,0.287284,249100,0.943137,0.127564,"Census Tract 44"
"37","14000US36067004500",17.3152,48380,26.6,4027,0.0931214,0.457751,121700,0.906879,0.141048,"Census Tract 45"
"38","14000US36067004600",17.7068,73000,44.1,5202,0.0457516,0.78629,151800,0.954248,0.122835,"Census Tract 46"
"39","14000US36067004800",14.8176,65278,49.5,1560,0.0198718,0.849398,119400,0.980128,0.0776439,"Census Tract 48"
"40","14000US36067004900",19.9219,39688,32.4,1363,0.0154072,0.542373,88000,0.984593,0.077821,"Census Tract 49"
"41","14000US36067005000",16.2272,66371,31.4,2924,0.0147059,0.679511,123800,0.985294,0.0280612,"Census Tract 50"
"42","14000US36067005100",18.0597,24394,32.2,2247,0.0213618,0.439286,65800,0.978638,0.224429,"Census Tract 51"
"43","14000US36067005200",19.241,22708,27.9,2146,0.0372787,0.27994,50100,0.962721,0.0924413,"Census Tract 52"
"44","14000US36067005300",20.3439,21382,26.3,1953,0.112135,0.227437,83000,0.887865,0.196512,"Census Tract 53"
"45","14000US36067005400",23.7162,29938,25.9,3156,0.0643219,0.360825,69300,0.935678,0.162153,"Census Tract 54"
"46","14000US36067005500",14.0694,28953,29.2,3679,0.221528,0.233146,74800,0.778472,0.309986,"Census Tract 55"
"47","14000US36067005601",17.8378,79070,44.2,1389,0.075594,0.850725,138600,0.924406,0.171602,"Census Tract 56.01"
"48","14000US36067005602",9.93892,13304,19.7,3728,0.101931,0.176768,135400,0.898069,0.166846,"Census Tract 56.02"
"49","14000US36067005700",21.087,36354,33.6,1795,0.0228412,0.625173,71900,0.977159,0.0494506,"Census Tract 57"
"50","14000US36067005800",17.389,29014,27.3,2571,0.00933489,0.32177,57700,0.990665,0.0913569,"Census Tract 58"
"51","14000US36067005900",18.6518,29297,29,1743,0.0424555,0.423971,60900,0.957544,0.133703,"Census Tract 59"
"52","14000US36067006000",19.0895,33720,36.3,3627,0.0146126,0.669046,70200,0.985387,0.0811728,"Census Tract 60"
"53","14000US36067006101",18.1346,28933,43.6,3758,0.0180947,0.360056,65300,0.981905,0.040253,"Census Tract 61.01"
"54","14000US36067006102",20.4217,21744,40.6,1990,0.185427,0.0368421,113200,0.814573,0.260379,"Census Tract 61.02"
"55","14000US36067006103",19.7082,64565,44.7,2495,0.00881764,0.87666,95800,0.991182,0.0556263,"Census Tract 61.03"
"56","14000US36067013200",20.2102,67470,49,2937,0.00136193,0.924977,133200,0.998638,0.0862563,"Census Tract 132"
